date,theta1,theta2,OT
133,-1.432441573,-1.16752865,-1.16752865
134,-1.457889086,-1.172755643,-1.172755643
135,-1.482165095,-1.178384688,-1.178384688
136,-1.505278108,-1.184393329,-1.184393329
137,-1.527238957,-1.190755144,-1.190755144
138,-1.548060154,-1.197440932,-1.197440932
139,-1.567755347,-1.204419705,-1.204419705
140,-1.58633889,-1.211659522,-1.211659522
141,-1.603825486,-1.21912816,-1.21912816
142,-1.620229911,-1.226793667,-1.226793667
143,-1.635566784,-1.234624801,-1.234624801
144,-1.649850394,-1.242591383,-1.242591383
145,-1.663094554,-1.250664574,-1.250664574
146,-1.67531249,-1.258817089,-1.258817089
147,-1.686516751,-1.26702337,-1.26702337
148,-1.696719133,-1.275259708,-1.275259708
149,-1.705930622,-1.28350434,-1.28350434
150,-1.714161343,-1.291737522,-1.291737522
151,-1.721420519,-1.299941571,-1.299941571
152,-1.727716437,-1.308100902,-1.308100902
153,-1.733056417,-1.316202042,-1.316202042
154,-1.737446792,-1.324233638,-1.324233638
155,-1.740892882,-1.332186451,-1.332186451
156,-1.743398983,-1.340053347,-1.340053347
157,-1.74496835,-1.34782927,-1.34782927
158,-1.745603197,-1.355511218,-1.355511218
159,-1.745304689,-1.3630982,-1.3630982
160,-1.744072951,-1.370591191,-1.370591191
161,-1.741907076,-1.377993071,-1.377993071
162,-1.738805149,-1.385308548,-1.385308548
163,-1.734764276,-1.392544072,-1.392544072
164,-1.729780629,-1.399707725,-1.399707725
165,-1.723849503,-1.406809083,-1.406809083
166,-1.716965396,-1.413859055,-1.413859055
167,-1.709122107,-1.420869685,-1.420869685
168,-1.700312858,-1.427853915,-1.427853915
169,-1.690530451,-1.434825293,-1.434825293
170,-1.679767455,-1.441797635,-1.441797635
171,-1.668016435,-1.448784615,-1.448784615
172,-1.655270222,-1.455799292,-1.455799292
173,-1.641522231,-1.462853555,-1.462853555
174,-1.62676683,-1.469957492,-1.469957492
175,-1.61099975,-1.477118679,-1.477118679
176,-1.594218551,-1.484341395,-1.484341395
177,-1.576423114,-1.491625777,-1.491625777
178,-1.557616159,-1.498966937,-1.498966937
179,-1.53780376,-1.506354073,-1.506354073
180,-1.516995841,-1.513769618,-1.513769618
181,-1.495206596,-1.521188473,-1.521188473
182,-1.472454826,-1.528577403,-1.528577403
183,-1.448764125,-1.535894622,-1.535894622
184,-1.424162908,-1.543089661,-1.543089661
185,-1.398684237,-1.550103526,-1.550103526
186,-1.372365457,-1.556869176,-1.556869176
187,-1.345247646,-1.563312313,-1.563312313
188,-1.317374908,-1.569352435,-1.569352435
189,-1.288793576,-1.574904082,-1.574904082
190,-1.259551367,-1.579878202,-1.579878202
191,-1.229696571,-1.584183537,-1.584183537
192,-1.199277322,-1.587727935,-1.587727935
193,-1.168341005,-1.590419545,-1.590419545
194,-1.136933827,-1.592167816,-1.592167816
195,-1.105100564,-1.592884307,-1.592884307
196,-1.07288448,-1.592483281,-1.592483281
197,-1.040327416,-1.590882125,-1.590882125
198,-1.007469998,-1.588001608,-1.588001608
199,-0.974351974,-1.583766015,-1.583766015
200,-0.941012616,-1.5781032,-1.5781032
201,-0.907491184,-1.570944573,-1.570944573
202,-0.873827427,-1.562225067,-1.562225067
203,-0.840062086,-1.551883094,-1.551883094
204,-0.806237402,-1.539860501,-1.539860501
205,-0.772397606,-1.526102547,-1.526102547
206,-0.738589376,-1.510557891,-1.510557891
207,-0.704862263,-1.493178596,-1.493178596
208,-0.671269071,-1.473920145,-1.473920145
209,-0.637866182,-1.45274145,-1.45274145
210,-0.604713831,-1.429604858,-1.429604858
211,-0.571876306,-1.404476132,-1.404476132
212,-0.53942209,-1.37732439,-1.37732439
213,-0.507423921,-1.348122006,-1.348122006
214,-0.475958779,-1.316844441,-1.316844441
215,-0.445107776,-1.283470006,-1.283470006
216,-0.414955975,-1.247979546,-1.247979546
217,-0.385592092,-1.210356043,-1.210356043
218,-0.357108111,-1.170584146,-1.170584146
219,-0.329598772,-1.12864963,-1.12864963
220,-0.303160928,-1.084538837,-1.084538837
221,-0.27789274,-1.038238115,-1.038238115
222,-0.253892664,-0.989733356,-0.989733356
223,-0.231258155,-0.93900973,-0.93900973
224,-0.210084,-0.886051775,-0.886051775
225,-0.190460113,-0.830844082,-0.830844082
226,-0.172468587,-0.773372886,-0.773372886
227,-0.156179711,-0.71362901,-0.71362901
228,-0.141646583,-0.651612684,-0.651612684
229,-0.128897915,-0.587340902,-0.587340902
230,-0.117928658,-0.520857898,-0.520857898
231,-0.108688349,-0.452249056,-0.452249056
232,-0.101067727,-0.381657732,-0.381657732
233,-0.094885343,-0.309302951,-0.309302951
234,-0.089877555,-0.235493728,-0.235493728
235,-0.085696807,-0.16063369,-0.16063369
236,-0.08192317,-0.085209469,-0.085209469
237,-0.078091211,-0.009760034,-0.009760034
238,-0.073728538,0.065168498,0.065168498
239,-0.068396736,0.139070714,0.139070714
240,-0.061723957,0.211518864,0.211518864
241,-0.053422473,0.282180761,0.282180761
242,-0.043290944,0.350818851,0.350818851
243,-0.031205834,0.417276572,0.417276572
244,-0.017107624,0.481459377,0.481459377
245,-0.000986218,0.543315957,0.543315957
246,0.017132005,0.602822547,0.602822547
247,0.0371946,0.659971174,0.659971174
248,0.059130969,0.714761581,0.714761581
249,0.082858171,0.767196106,0.767196106
250,0.108285138,0.817276763,0.817276763
251,0.135315747,0.865003861,0.865003861
252,0.163851077,0.910375649,0.910375649
253,0.193791132,0.953388604,0.953388604
254,0.225036168,0.994038118,0.994038118
255,0.257487772,1.032319373,1.032319373
256,0.291049733,1.068228307,1.068228307
257,0.325628763,1.101762564,1.101762564
258,0.361135079,1.132922403,1.132922403
259,0.397482853,1.161711518,1.161711518
260,0.43459054,1.188137768,1.188137768
261,0.472381058,1.212213832,1.212213832
262,0.510781835,1.233957777,1.233957777
263,0.549724697,1.253393587,1.253393587
264,0.589145588,1.270551678,1.270551678
265,0.628984129,1.285469425,1.285469425
266,0.669182982,1.298191746,1.298191746
267,0.70968703,1.308771775,1.308771775
268,0.750442368,1.31727166,1.31727166
269,0.791395105,1.323763487,1.323763487
270,0.832490004,1.328330338,1.328330338
271,0.873669007,1.331067432,1.331067432
272,0.914869703,1.332083266,1.332083266
273,0.956023872,1.331500602,1.331500602
274,0.997056253,1.329457102,1.329457102
275,1.037883729,1.326105321,1.326105321
276,1.078415168,1.32161178,1.32161178
277,1.118552092,1.316154848,1.316154848
278,1.158190327,1.309921269,1.309921269
279,1.197222606,1.303101392,1.303101392
280,1.235541952,1.295883389,1.295883389
281,1.27304547,1.288447017,1.288447017
282,1.309638089,1.280957618,1.280957618
283,1.34523576,1.273561075,1.273561075
284,1.379767737,1.266380253,1.266380253
