date,X,Y,Z,OT
105,-9.49E+00,-1.37E+01,2.20E+01,2.20E+01
106,-1.03E+01,-1.46E+01,2.34E+01,2.34E+01
107,-1.12E+01,-1.52E+01,2.52E+01,2.52E+01
108,-1.20E+01,-1.55E+01,2.72E+01,2.72E+01
109,-1.27E+01,-1.54E+01,2.95E+01,2.95E+01
110,-1.32E+01,-1.47E+01,3.19E+01,3.19E+01
111,-1.35E+01,-1.34E+01,3.40E+01,3.40E+01
112,-1.35E+01,-1.15E+01,3.59E+01,3.59E+01
113,-1.31E+01,-9.14E+00,3.70E+01,3.70E+01
114,-1.23E+01,-6.59E+00,3.75E+01,3.75E+01
115,-1.12E+01,-4.13E+00,3.71E+01,3.71E+01
116,-9.76E+00,-2.01E+00,3.60E+01,3.60E+01
117,-8.21E+00,-4.04E-01,3.45E+01,3.45E+01
118,-6.65E+00,6.72E-01,3.27E+01,3.27E+01
119,-5.18E+00,1.29E+00,3.09E+01,3.09E+01
120,-3.89E+00,1.56E+00,2.91E+01,2.91E+01
121,-2.80E+00,1.62E+00,2.74E+01,2.74E+01
122,-1.92E+00,1.55E+00,2.59E+01,2.59E+01
123,-1.22E+00,1.44E+00,2.44E+01,2.44E+01
124,-6.89E-01,1.33E+00,2.31E+01,2.31E+01
125,-2.86E-01,1.23E+00,2.19E+01,2.19E+01
126,1.77E-02,1.17E+00,2.07E+01,2.07E+01
127,2.49E-01,1.15E+00,1.96E+01,1.96E+01
128,4.29E-01,1.17E+00,1.85E+01,1.85E+01
129,5.78E-01,1.23E+00,1.76E+01,1.76E+01
130,7.08E-01,1.32E+00,1.66E+01,1.66E+01
131,8.31E-01,1.46E+00,1.58E+01,1.58E+01
132,9.57E-01,1.63E+00,1.50E+01,1.50E+01
133,1.09E+00,1.85E+00,1.42E+01,1.42E+01
134,1.24E+00,2.11E+00,1.35E+01,1.35E+01
135,1.42E+00,2.43E+00,1.28E+01,1.28E+01
136,1.62E+00,2.82E+00,1.22E+01,1.22E+01
137,1.86E+00,3.27E+00,1.16E+01,1.16E+01
