date,X,Y,Z,OT
4774,7.19E+00,6.44E+00,2.65E+01,2.65E+01
4775,7.04E+00,6.52E+00,2.60E+01,2.60E+01
4776,6.94E+00,6.67E+00,2.55E+01,2.55E+01
4777,6.88E+00,6.88E+00,2.51E+01,2.51E+01
4778,6.88E+00,7.14E+00,2.47E+01,2.47E+01
4779,6.93E+00,7.45E+00,2.44E+01,2.44E+01
4780,7.04E+00,7.81E+00,2.41E+01,2.41E+01
4781,7.19E+00,8.20E+00,2.39E+01,2.39E+01
4782,7.39E+00,8.62E+00,2.38E+01,2.38E+01
4783,7.64E+00,9.06E+00,2.38E+01,2.38E+01
4784,7.92E+00,9.52E+00,2.39E+01,2.39E+01
4785,8.24E+00,9.97E+00,2.42E+01,2.42E+01
4786,8.59E+00,1.04E+01,2.45E+01,2.45E+01
4787,8.95E+00,1.08E+01,2.50E+01,2.50E+01
4788,9.32E+00,1.11E+01,2.56E+01,2.56E+01
4789,9.68E+00,1.13E+01,2.63E+01,2.63E+01
4790,1.00E+01,1.14E+01,2.71E+01,2.71E+01
4791,1.03E+01,1.14E+01,2.79E+01,2.79E+01
4792,1.05E+01,1.12E+01,2.88E+01,2.88E+01
4793,1.06E+01,1.08E+01,2.96E+01,2.96E+01
4794,1.07E+01,1.02E+01,3.03E+01,3.03E+01
4795,1.06E+01,9.52E+00,3.09E+01,3.09E+01
4796,1.04E+01,8.71E+00,3.13E+01,3.13E+01
4797,1.00E+01,7.86E+00,3.14E+01,3.14E+01
4798,9.60E+00,7.03E+00,3.13E+01,3.13E+01
4799,9.09E+00,6.25E+00,3.10E+01,3.10E+01
4800,8.52E+00,5.58E+00,3.05E+01,3.05E+01
4801,7.93E+00,5.05E+00,2.98E+01,2.98E+01
4802,7.36E+00,4.67E+00,2.90E+01,2.90E+01
4803,6.82E+00,4.43E+00,2.81E+01,2.81E+01
4804,6.34E+00,4.32E+00,2.72E+01,2.72E+01
4805,5.94E+00,4.33E+00,2.63E+01,2.63E+01
4806,5.61E+00,4.44E+00,2.54E+01,2.54E+01
4807,5.38E+00,4.63E+00,2.46E+01,2.46E+01
4808,5.23E+00,4.91E+00,2.38E+01,2.38E+01
4809,5.17E+00,5.25E+00,2.30E+01,2.30E+01
4810,5.18E+00,5.66E+00,2.23E+01,2.23E+01
4811,5.28E+00,6.14E+00,2.17E+01,2.17E+01
4812,5.45E+00,6.67E+00,2.12E+01,2.12E+01
4813,5.69E+00,7.28E+00,2.08E+01,2.08E+01
4814,6.01E+00,7.95E+00,2.05E+01,2.05E+01
4815,6.40E+00,8.69E+00,2.04E+01,2.04E+01
4816,6.86E+00,9.49E+00,2.04E+01,2.04E+01
4817,7.38E+00,1.03E+01,2.06E+01,2.06E+01
4818,7.98E+00,1.12E+01,2.11E+01,2.11E+01
4819,8.62E+00,1.21E+01,2.17E+01,2.17E+01
4820,9.32E+00,1.29E+01,2.27E+01,2.27E+01
4821,1.00E+01,1.37E+01,2.39E+01,2.39E+01
4822,1.08E+01,1.42E+01,2.53E+01,2.53E+01
4823,1.15E+01,1.45E+01,2.71E+01,2.71E+01
4824,1.21E+01,1.45E+01,2.89E+01,2.89E+01
4825,1.26E+01,1.39E+01,3.09E+01,3.09E+01
4826,1.28E+01,1.29E+01,3.27E+01,3.27E+01
4827,1.29E+01,1.15E+01,3.43E+01,3.43E+01
4828,1.26E+01,9.61E+00,3.54E+01,3.54E+01
4829,1.20E+01,7.55E+00,3.60E+01,3.60E+01
4830,1.11E+01,5.49E+00,3.58E+01,3.58E+01
4831,9.97E+00,3.64E+00,3.52E+01,3.52E+01
4832,8.71E+00,2.14E+00,3.40E+01,3.40E+01
4833,7.39E+00,1.05E+00,3.26E+01,3.26E+01
4834,6.13E+00,3.57E-01,3.10E+01,3.10E+01
4835,4.97E+00,-1.50E-02,2.94E+01,2.94E+01
4836,3.97E+00,-1.51E-01,2.78E+01,2.78E+01
4837,3.15E+00,-1.33E-01,2.63E+01,2.63E+01
4838,2.49E+00,-2.36E-02,2.49E+01,2.49E+01
4839,1.99E+00,1.32E-01,2.36E+01,2.36E+01
4840,1.62E+00,3.05E-01,2.23E+01,2.23E+01
4841,1.36E+00,4.83E-01,2.11E+01,2.11E+01
4842,1.18E+00,6.59E-01,2.00E+01,2.00E+01
4843,1.08E+00,8.35E-01,1.90E+01,1.90E+01
4844,1.03E+00,1.01E+00,1.80E+01,1.80E+01
4845,1.03E+00,1.20E+00,1.70E+01,1.70E+01
4846,1.06E+00,1.40E+00,1.62E+01,1.62E+01
4847,1.13E+00,1.62E+00,1.53E+01,1.53E+01
4848,1.23E+00,1.88E+00,1.45E+01,1.45E+01
4849,1.36E+00,2.17E+00,1.38E+01,1.38E+01
4850,1.52E+00,2.51E+00,1.31E+01,1.31E+01
4851,1.72E+00,2.91E+00,1.25E+01,1.25E+01
4852,1.96E+00,3.38E+00,1.19E+01,1.19E+01
4853,2.24E+00,3.94E+00,1.14E+01,1.14E+01
4854,2.58E+00,4.61E+00,1.10E+01,1.10E+01
4855,2.99E+00,5.39E+00,1.07E+01,1.07E+01
4856,3.47E+00,6.32E+00,1.04E+01,1.04E+01
4857,4.04E+00,7.42E+00,1.03E+01,1.03E+01
4858,4.71E+00,8.70E+00,1.03E+01,1.03E+01
4859,5.51E+00,1.02E+01,1.06E+01,1.06E+01
4860,6.45E+00,1.19E+01,1.12E+01,1.12E+01
4861,7.54E+00,1.38E+01,1.21E+01,1.21E+01
4862,8.80E+00,1.60E+01,1.35E+01,1.35E+01
4863,1.02E+01,1.82E+01,1.56E+01,1.56E+01
4864,1.18E+01,2.03E+01,1.85E+01,1.85E+01
4865,1.35E+01,2.22E+01,2.23E+01,2.23E+01
4866,1.53E+01,2.33E+01,2.71E+01,2.71E+01
4867,1.69E+01,2.31E+01,3.28E+01,3.28E+01
4868,1.81E+01,2.10E+01,3.88E+01,3.88E+01
4869,1.87E+01,1.66E+01,4.43E+01,4.43E+01
4870,1.83E+01,1.02E+01,4.82E+01,4.82E+01
4871,1.67E+01,2.63E+00,4.94E+01,4.94E+01
4872,1.39E+01,-4.54E+00,4.76E+01,4.76E+01
4873,1.02E+01,-9.88E+00,4.38E+01,4.38E+01
4874,6.16E+00,-1.29E+01,3.95E+01,3.95E+01
4875,2.35E+00,-1.41E+01,3.58E+01,3.58E+01
4876,-9.30E-01,-1.41E+01,3.32E+01,3.32E+01
4877,-3.57E+00,-1.38E+01,3.17E+01,3.17E+01
4878,-5.61E+00,-1.32E+01,3.10E+01,3.10E+01
4879,-7.13E+00,-1.26E+01,3.08E+01,3.08E+01
4880,-8.23E+00,-1.20E+01,3.10E+01,3.10E+01
4881,-8.98E+00,-1.12E+01,3.13E+01,3.13E+01
4882,-9.43E+00,-1.04E+01,3.16E+01,3.16E+01
4883,-9.63E+00,-9.53E+00,3.19E+01,3.19E+01
4884,-9.61E+00,-8.59E+00,3.20E+01,3.20E+01
4885,-9.40E+00,-7.64E+00,3.20E+01,3.20E+01
4886,-9.05E+00,-6.74E+00,3.17E+01,3.17E+01
4887,-8.59E+00,-5.93E+00,3.12E+01,3.12E+01
4888,-8.06E+00,-5.25E+00,3.06E+01,3.06E+01
4889,-7.49E+00,-4.73E+00,2.98E+01,2.98E+01
4890,-6.94E+00,-4.36E+00,2.89E+01,2.89E+01
4891,-6.43E+00,-4.15E+00,2.80E+01,2.80E+01
4892,-5.97E+00,-4.06E+00,2.70E+01,2.70E+01
4893,-5.59E+00,-4.10E+00,2.61E+01,2.61E+01
4894,-5.29E+00,-4.23E+00,2.51E+01,2.51E+01
4895,-5.08E+00,-4.45E+00,2.42E+01,2.42E+01
4896,-4.95E+00,-4.74E+00,2.34E+01,2.34E+01
4897,-4.91E+00,-5.10E+00,2.26E+01,2.26E+01
4898,-4.95E+00,-5.53E+00,2.19E+01,2.19E+01
4899,-5.06E+00,-6.02E+00,2.13E+01,2.13E+01
4900,-5.26E+00,-6.58E+00,2.08E+01,2.08E+01
4901,-5.52E+00,-7.20E+00,2.04E+01,2.04E+01
4902,-5.86E+00,-7.90E+00,2.01E+01,2.01E+01
4903,-6.27E+00,-8.67E+00,1.99E+01,1.99E+01
4904,-6.75E+00,-9.51E+00,1.99E+01,1.99E+01
4905,-7.30E+00,-1.04E+01,2.02E+01,2.02E+01
4906,-7.92E+00,-1.13E+01,2.06E+01,2.06E+01
4907,-8.61E+00,-1.23E+01,2.13E+01,2.13E+01
4908,-9.34E+00,-1.32E+01,2.23E+01,2.23E+01
4909,-1.01E+01,-1.40E+01,2.36E+01,2.36E+01
4910,-1.09E+01,-1.46E+01,2.51E+01,2.51E+01
4911,-1.16E+01,-1.49E+01,2.70E+01,2.70E+01
4912,-1.23E+01,-1.49E+01,2.90E+01,2.90E+01
4913,-1.28E+01,-1.43E+01,3.11E+01,3.11E+01
4914,-1.31E+01,-1.32E+01,3.31E+01,3.31E+01
4915,-1.31E+01,-1.16E+01,3.49E+01,3.49E+01
4916,-1.28E+01,-9.59E+00,3.61E+01,3.61E+01
4917,-1.22E+01,-7.33E+00,3.66E+01,3.66E+01
4918,-1.12E+01,-5.09E+00,3.64E+01,3.64E+01
4919,-9.99E+00,-3.10E+00,3.56E+01,3.56E+01
4920,-8.62E+00,-1.51E+00,3.43E+01,3.43E+01
4921,-7.19E+00,-3.88E-01,3.28E+01,3.28E+01
4922,-5.83E+00,3.08E-01,3.11E+01,3.11E+01
4923,-4.61E+00,6.61E-01,2.94E+01,2.94E+01
4924,-3.55E+00,7.76E-01,2.78E+01,2.78E+01
4925,-2.69E+00,7.44E-01,2.62E+01,2.62E+01
4926,-2.00E+00,6.34E-01,2.48E+01,2.48E+01
4927,-1.47E+00,4.93E-01,2.34E+01,2.34E+01
4928,-1.08E+00,3.49E-01,2.22E+01,2.22E+01
4929,-7.94E-01,2.16E-01,2.10E+01,2.10E+01
4930,-5.92E-01,1.00E-01,1.99E+01,1.99E+01
4931,-4.54E-01,1.71E-03,1.88E+01,1.88E+01
4932,-3.63E-01,-8.18E-02,1.78E+01,1.78E+01
4933,-3.07E-01,-1.54E-01,1.69E+01,1.69E+01
4934,-2.76E-01,-2.19E-01,1.60E+01,1.60E+01
4935,-2.65E-01,-2.82E-01,1.51E+01,1.51E+01
4936,-2.68E-01,-3.44E-01,1.43E+01,1.43E+01
4937,-2.83E-01,-4.11E-01,1.35E+01,1.35E+01
4938,-3.09E-01,-4.85E-01,1.28E+01,1.28E+01
4939,-3.44E-01,-5.69E-01,1.21E+01,1.21E+01
4940,-3.89E-01,-6.66E-01,1.15E+01,1.15E+01
4941,-4.44E-01,-7.81E-01,1.09E+01,1.09E+01
4942,-5.12E-01,-9.18E-01,1.03E+01,1.03E+01
4943,-5.93E-01,-1.08E+00,9.77E+00,9.77E+00
4944,-6.90E-01,-1.28E+00,9.26E+00,9.26E+00
4945,-8.07E-01,-1.51E+00,8.79E+00,8.79E+00
4946,-9.48E-01,-1.79E+00,8.34E+00,8.34E+00
4947,-1.12E+00,-2.13E+00,7.93E+00,7.93E+00
4948,-1.32E+00,-2.53E+00,7.56E+00,7.56E+00
4949,-1.56E+00,-3.02E+00,7.22E+00,7.22E+00
4950,-1.85E+00,-3.61E+00,6.93E+00,6.93E+00
4951,-2.20E+00,-4.31E+00,6.69E+00,6.69E+00
4952,-2.63E+00,-5.17E+00,6.53E+00,6.53E+00
4953,-3.13E+00,-6.19E+00,6.45E+00,6.45E+00
4954,-3.75E+00,-7.42E+00,6.49E+00,6.49E+00
4955,-4.48E+00,-8.88E+00,6.70E+00,6.70E+00
4956,-5.36E+00,-1.06E+01,7.14E+00,7.14E+00
4957,-6.41E+00,-1.26E+01,7.90E+00,7.90E+00
4958,-7.65E+00,-1.50E+01,9.10E+00,9.10E+00
4959,-9.12E+00,-1.76E+01,1.09E+01,1.09E+01
4960,-1.08E+01,-2.03E+01,1.35E+01,1.35E+01
4961,-1.27E+01,-2.30E+01,1.72E+01,1.72E+01
4962,-1.48E+01,-2.53E+01,2.21E+01,2.21E+01
4963,-1.69E+01,-2.66E+01,2.84E+01,2.84E+01
4964,-1.88E+01,-2.59E+01,3.59E+01,3.59E+01
4965,-2.02E+01,-2.24E+01,4.37E+01,4.37E+01
4966,-2.07E+01,-1.56E+01,5.04E+01,5.04E+01
4967,-1.96E+01,-6.00E+00,5.42E+01,5.42E+01
4968,-1.69E+01,4.41E+00,5.37E+01,5.37E+01
4969,-1.27E+01,1.30E+01,4.93E+01,4.93E+01
4970,-7.52E+00,1.81E+01,4.34E+01,4.34E+01
4971,-2.39E+00,2.01E+01,3.83E+01,3.83E+01
4972,2.11E+00,2.02E+01,3.53E+01,3.53E+01
4973,5.72E+00,1.95E+01,3.43E+01,3.43E+01
4974,8.47E+00,1.84E+01,3.47E+01,3.47E+01
4975,1.04E+01,1.69E+01,3.60E+01,3.60E+01
4976,1.17E+01,1.49E+01,3.76E+01,3.76E+01
4977,1.24E+01,1.23E+01,3.90E+01,3.90E+01
4978,1.23E+01,9.34E+00,4.00E+01,4.00E+01
4979,1.17E+01,6.18E+00,4.02E+01,4.02E+01
4980,1.06E+01,3.20E+00,3.95E+01,3.95E+01
4981,9.15E+00,6.91E-01,3.81E+01,3.81E+01
4982,7.46E+00,-1.16E+00,3.62E+01,3.62E+01
4983,5.73E+00,-2.36E+00,3.41E+01,3.41E+01
4984,4.11E+00,-3.00E+00,3.20E+01,3.20E+01
4985,2.69E+00,-3.27E+00,3.00E+01,3.00E+01
4986,1.50E+00,-3.31E+00,2.82E+01,2.82E+01
4987,5.35E-01,-3.26E+00,2.66E+01,2.66E+01
4988,-2.23E-01,-3.18E+00,2.52E+01,2.52E+01
4989,-8.14E-01,-3.13E+00,2.39E+01,2.39E+01
4990,-1.28E+00,-3.13E+00,2.26E+01,2.26E+01
4991,-1.65E+00,-3.20E+00,2.15E+01,2.15E+01
4992,-1.96E+00,-3.35E+00,2.05E+01,2.05E+01
4993,-2.24E+00,-3.58E+00,1.95E+01,1.95E+01
4994,-2.51E+00,-3.89E+00,1.86E+01,1.86E+01
4995,-2.78E+00,-4.28E+00,1.78E+01,1.78E+01
4996,-3.08E+00,-4.76E+00,1.71E+01,1.71E+01
4997,-3.42E+00,-5.34E+00,1.65E+01,1.65E+01
4998,-3.80E+00,-6.02E+00,1.60E+01,1.60E+01
4999,-4.25E+00,-6.81E+00,1.56E+01,1.56E+01
5000,-4.76E+00,-7.73E+00,1.53E+01,1.53E+01
5001,-5.36E+00,-8.78E+00,1.53E+01,1.53E+01
5002,-6.04E+00,-9.97E+00,1.54E+01,1.54E+01
5003,-6.83E+00,-1.13E+01,1.58E+01,1.58E+01
5004,-7.72E+00,-1.27E+01,1.65E+01,1.65E+01
5005,-8.73E+00,-1.43E+01,1.76E+01,1.76E+01
5006,-9.83E+00,-1.58E+01,1.91E+01,1.91E+01
5007,-1.10E+01,-1.72E+01,2.12E+01,2.12E+01
5008,-1.23E+01,-1.84E+01,2.39E+01,2.39E+01
5009,-1.35E+01,-1.90E+01,2.71E+01,2.71E+01
5010,-1.46E+01,-1.89E+01,3.08E+01,3.08E+01
5011,-1.55E+01,-1.77E+01,3.47E+01,3.47E+01
5012,-1.59E+01,-1.53E+01,3.83E+01,3.83E+01
5013,-1.58E+01,-1.17E+01,4.11E+01,4.11E+01
5014,-1.50E+01,-7.31E+00,4.26E+01,4.26E+01
5015,-1.34E+01,-2.79E+00,4.25E+01,4.25E+01
5016,-1.13E+01,1.17E+00,4.10E+01,4.10E+01
5017,-8.81E+00,4.10E+00,3.86E+01,3.86E+01
5018,-6.23E+00,5.88E+00,3.58E+01,3.58E+01
5019,-3.81E+00,6.73E+00,3.32E+01,3.32E+01
5020,-1.70E+00,6.99E+00,3.09E+01,3.09E+01
5021,3.65E-02,6.94E+00,2.90E+01,2.90E+01
5022,1.42E+00,6.80E+00,2.74E+01,2.74E+01
5023,2.50E+00,6.68E+00,2.62E+01,2.62E+01
5024,3.33E+00,6.64E+00,2.51E+01,2.51E+01
5025,4.00E+00,6.70E+00,2.42E+01,2.42E+01
5026,4.54E+00,6.87E+00,2.35E+01,2.35E+01
5027,5.00E+00,7.14E+00,2.28E+01,2.28E+01
5028,5.43E+00,7.52E+00,2.23E+01,2.23E+01
5029,5.85E+00,7.98E+00,2.20E+01,2.20E+01
5030,6.28E+00,8.53E+00,2.17E+01,2.17E+01
5031,6.73E+00,9.15E+00,2.16E+01,2.16E+01
5032,7.21E+00,9.82E+00,2.17E+01,2.17E+01
5033,7.73E+00,1.05E+01,2.20E+01,2.20E+01
5034,8.29E+00,1.13E+01,2.24E+01,2.24E+01
5035,8.89E+00,1.20E+01,2.31E+01,2.31E+01
5036,9.50E+00,1.26E+01,2.40E+01,2.40E+01
5037,1.01E+01,1.31E+01,2.51E+01,2.51E+01
5038,1.07E+01,1.34E+01,2.64E+01,2.64E+01
5039,1.13E+01,1.35E+01,2.79E+01,2.79E+01
5040,1.17E+01,1.33E+01,2.94E+01,2.94E+01
5041,1.20E+01,1.27E+01,3.10E+01,3.10E+01
5042,1.21E+01,1.17E+01,3.24E+01,3.24E+01
5043,1.21E+01,1.04E+01,3.35E+01,3.35E+01
5044,1.17E+01,8.87E+00,3.42E+01,3.42E+01
5045,1.11E+01,7.24E+00,3.44E+01,3.44E+01
5046,1.04E+01,5.66E+00,3.42E+01,3.42E+01
5047,9.43E+00,4.26E+00,3.36E+01,3.36E+01
5048,8.39E+00,3.12E+00,3.26E+01,3.26E+01
5049,7.34E+00,2.29E+00,3.14E+01,3.14E+01
5050,6.33E+00,1.75E+00,3.00E+01,3.00E+01
5051,5.41E+00,1.46E+00,2.87E+01,2.87E+01
5052,4.62E+00,1.36E+00,2.73E+01,2.73E+01
5053,3.97E+00,1.40E+00,2.60E+01,2.60E+01
5054,3.46E+00,1.53E+00,2.47E+01,2.47E+01
5055,3.07E+00,1.73E+00,2.35E+01,2.35E+01
5056,2.80E+00,1.98E+00,2.23E+01,2.23E+01
5057,2.64E+00,2.26E+00,2.12E+01,2.12E+01
5058,2.56E+00,2.57E+00,2.02E+01,2.02E+01
5059,2.56E+00,2.91E+00,1.93E+01,1.93E+01
5060,2.63E+00,3.30E+00,1.84E+01,1.84E+01
5061,2.77E+00,3.74E+00,1.76E+01,1.76E+01
5062,2.96E+00,4.24E+00,1.69E+01,1.69E+01
5063,3.22E+00,4.82E+00,1.62E+01,1.62E+01
5064,3.54E+00,5.48E+00,1.57E+01,1.57E+01
5065,3.93E+00,6.24E+00,1.52E+01,1.52E+01
5066,4.39E+00,7.12E+00,1.49E+01,1.49E+01
5067,4.94E+00,8.13E+00,1.47E+01,1.47E+01
5068,5.57E+00,9.28E+00,1.47E+01,1.47E+01
5069,6.32E+00,1.06E+01,1.50E+01,1.50E+01
5070,7.17E+00,1.20E+01,1.55E+01,1.55E+01
5071,8.13E+00,1.36E+01,1.64E+01,1.64E+01
5072,9.22E+00,1.52E+01,1.77E+01,1.77E+01
5073,1.04E+01,1.68E+01,1.96E+01,1.96E+01
5074,1.17E+01,1.82E+01,2.20E+01,2.20E+01
5075,1.30E+01,1.92E+01,2.51E+01,2.51E+01
5076,1.42E+01,1.96E+01,2.87E+01,2.87E+01
5077,1.53E+01,1.90E+01,3.28E+01,3.28E+01
5078,1.60E+01,1.71E+01,3.68E+01,3.68E+01
5079,1.62E+01,1.40E+01,4.03E+01,4.03E+01
5080,1.58E+01,9.66E+00,4.27E+01,4.27E+01
5081,1.46E+01,4.82E+00,4.35E+01,4.35E+01
5082,1.26E+01,2.12E-01,4.26E+01,4.26E+01
5083,1.01E+01,-3.47E+00,4.04E+01,4.04E+01
5084,7.41E+00,-5.91E+00,3.75E+01,3.75E+01
5085,4.75E+00,-7.20E+00,3.46E+01,3.46E+01
5086,2.36E+00,-7.68E+00,3.21E+01,3.21E+01
5087,3.50E-01,-7.72E+00,3.00E+01,3.00E+01
5088,-1.26E+00,-7.58E+00,2.84E+01,2.84E+01
5089,-2.53E+00,-7.42E+00,2.70E+01,2.70E+01
5090,-3.51E+00,-7.32E+00,2.60E+01,2.60E+01
5091,-4.27E+00,-7.32E+00,2.51E+01,2.51E+01
5092,-4.88E+00,-7.42E+00,2.44E+01,2.44E+01
5093,-5.39E+00,-7.62E+00,2.38E+01,2.38E+01
5094,-5.83E+00,-7.92E+00,2.34E+01,2.34E+01
5095,-6.25E+00,-8.30E+00,2.30E+01,2.30E+01
5096,-6.66E+00,-8.75E+00,2.29E+01,2.29E+01
5097,-7.08E+00,-9.26E+00,2.28E+01,2.28E+01
5098,-7.52E+00,-9.81E+00,2.29E+01,2.29E+01
5099,-7.98E+00,-1.04E+01,2.32E+01,2.32E+01
5100,-8.46E+00,-1.10E+01,2.36E+01,2.36E+01
5101,-8.96E+00,-1.15E+01,2.42E+01,2.42E+01
5102,-9.46E+00,-1.19E+01,2.49E+01,2.49E+01
5103,-9.96E+00,-1.23E+01,2.59E+01,2.59E+01
5104,-1.04E+01,-1.25E+01,2.69E+01,2.69E+01
5105,-1.08E+01,-1.24E+01,2.81E+01,2.81E+01
5106,-1.11E+01,-1.22E+01,2.93E+01,2.93E+01
5107,-1.14E+01,-1.16E+01,3.04E+01,3.04E+01
5108,-1.14E+01,-1.08E+01,3.15E+01,3.15E+01
5109,-1.13E+01,-9.84E+00,3.23E+01,3.23E+01
5110,-1.10E+01,-8.69E+00,3.28E+01,3.28E+01
5111,-1.05E+01,-7.47E+00,3.29E+01,3.29E+01
5112,-9.93E+00,-6.28E+00,3.27E+01,3.27E+01
5113,-9.20E+00,-5.21E+00,3.22E+01,3.22E+01
5114,-8.40E+00,-4.33E+00,3.15E+01,3.15E+01
5115,-7.59E+00,-3.66E+00,3.05E+01,3.05E+01
5116,-6.80E+00,-3.20E+00,2.95E+01,2.95E+01
5117,-6.08E+00,-2.94E+00,2.83E+01,2.83E+01
5118,-5.45E+00,-2.84E+00,2.72E+01,2.72E+01
5119,-4.93E+00,-2.88E+00,2.60E+01,2.60E+01
5120,-4.52E+00,-3.01E+00,2.49E+01,2.49E+01
5121,-4.22E+00,-3.23E+00,2.39E+01,2.39E+01
5122,-4.02E+00,-3.52E+00,2.29E+01,2.29E+01
5123,-3.92E+00,-3.86E+00,2.19E+01,2.19E+01
5124,-3.91E+00,-4.26E+00,2.11E+01,2.11E+01
5125,-3.98E+00,-4.71E+00,2.03E+01,2.03E+01
5126,-4.12E+00,-5.23E+00,1.96E+01,1.96E+01
5127,-4.35E+00,-5.83E+00,1.90E+01,1.90E+01
5128,-4.64E+00,-6.50E+00,1.84E+01,1.84E+01
5129,-5.01E+00,-7.25E+00,1.81E+01,1.81E+01
5130,-5.46E+00,-8.10E+00,1.78E+01,1.78E+01
5131,-5.99E+00,-9.05E+00,1.78E+01,1.78E+01
5132,-6.60E+00,-1.01E+01,1.79E+01,1.79E+01
5133,-7.30E+00,-1.12E+01,1.83E+01,1.83E+01
5134,-8.09E+00,-1.24E+01,1.89E+01,1.89E+01
5135,-8.95E+00,-1.36E+01,1.99E+01,1.99E+01
5136,-9.89E+00,-1.48E+01,2.13E+01,2.13E+01
5137,-1.09E+01,-1.58E+01,2.31E+01,2.31E+01
5138,-1.19E+01,-1.66E+01,2.53E+01,2.53E+01
5139,-1.28E+01,-1.69E+01,2.79E+01,2.79E+01
5140,-1.36E+01,-1.66E+01,3.07E+01,3.07E+01
5141,-1.42E+01,-1.55E+01,3.36E+01,3.36E+01
5142,-1.45E+01,-1.36E+01,3.62E+01,3.62E+01
5143,-1.43E+01,-1.09E+01,3.82E+01,3.82E+01
5144,-1.36E+01,-7.79E+00,3.93E+01,3.93E+01
5145,-1.25E+01,-4.55E+00,3.93E+01,3.93E+01
5146,-1.09E+01,-1.64E+00,3.84E+01,3.84E+01
5147,-9.02E+00,6.51E-01,3.67E+01,3.67E+01
5148,-7.09E+00,2.20E+00,3.46E+01,3.46E+01
5149,-5.23E+00,3.10E+00,3.24E+01,3.24E+01
5150,-3.56E+00,3.50E+00,3.04E+01,3.04E+01
5151,-2.15E+00,3.60E+00,2.85E+01,2.85E+01
5152,-1.00E+00,3.55E+00,2.68E+01,2.68E+01
5153,-9.07E-02,3.46E+00,2.53E+01,2.53E+01
5154,6.19E-01,3.38E+00,2.40E+01,2.40E+01
5155,1.17E+00,3.37E+00,2.27E+01,2.27E+01
5156,1.61E+00,3.42E+00,2.16E+01,2.16E+01
5157,1.97E+00,3.56E+00,2.06E+01,2.06E+01
5158,2.29E+00,3.78E+00,1.96E+01,1.96E+01
5159,2.59E+00,4.09E+00,1.87E+01,1.87E+01
5160,2.89E+00,4.49E+00,1.80E+01,1.80E+01
5161,3.21E+00,4.98E+00,1.73E+01,1.73E+01
5162,3.56E+00,5.57E+00,1.67E+01,1.67E+01
5163,3.96E+00,6.26E+00,1.62E+01,1.62E+01
5164,4.42E+00,7.08E+00,1.58E+01,1.58E+01
5165,4.95E+00,8.01E+00,1.56E+01,1.56E+01
5166,5.57E+00,9.08E+00,1.55E+01,1.55E+01
5167,6.27E+00,1.03E+01,1.57E+01,1.57E+01
5168,7.07E+00,1.16E+01,1.62E+01,1.62E+01
5169,7.98E+00,1.31E+01,1.70E+01,1.70E+01
5170,9.00E+00,1.46E+01,1.81E+01,1.81E+01
5171,1.01E+01,1.60E+01,1.98E+01,1.98E+01
5172,1.13E+01,1.74E+01,2.20E+01,2.20E+01
5173,1.25E+01,1.84E+01,2.47E+01,2.47E+01
5174,1.37E+01,1.88E+01,2.80E+01,2.80E+01
5175,1.47E+01,1.85E+01,3.17E+01,3.17E+01
5176,1.55E+01,1.70E+01,3.54E+01,3.54E+01
5177,1.58E+01,1.44E+01,3.88E+01,3.88E+01
5178,1.55E+01,1.07E+01,4.13E+01,4.13E+01
5179,1.45E+01,6.34E+00,4.24E+01,4.24E+01
5180,1.29E+01,2.03E+00,4.20E+01,4.20E+01
5181,1.07E+01,-1.61E+00,4.02E+01,4.02E+01
5182,8.26E+00,-4.20E+00,3.78E+01,3.78E+01
5183,5.76E+00,-5.73E+00,3.50E+01,3.50E+01
5184,3.47E+00,-6.42E+00,3.25E+01,3.25E+01
5185,1.49E+00,-6.61E+00,3.03E+01,3.03E+01
5186,-1.32E-01,-6.55E+00,2.85E+01,2.85E+01
5187,-1.41E+00,-6.41E+00,2.70E+01,2.70E+01
5188,-2.41E+00,-6.31E+00,2.58E+01,2.58E+01
5189,-3.19E+00,-6.30E+00,2.47E+01,2.47E+01
5190,-3.81E+00,-6.38E+00,2.38E+01,2.38E+01
5191,-4.33E+00,-6.58E+00,2.30E+01,2.30E+01
5192,-4.78E+00,-6.88E+00,2.23E+01,2.23E+01
5193,-5.20E+00,-7.28E+00,2.18E+01,2.18E+01
5194,-5.61E+00,-7.78E+00,2.14E+01,2.14E+01
5195,-6.05E+00,-8.36E+00,2.11E+01,2.11E+01
5196,-6.51E+00,-9.03E+00,2.10E+01,2.10E+01
5197,-7.01E+00,-9.76E+00,2.11E+01,2.11E+01
5198,-7.56E+00,-1.05E+01,2.13E+01,2.13E+01
5199,-8.16E+00,-1.13E+01,2.18E+01,2.18E+01
5200,-8.79E+00,-1.21E+01,2.25E+01,2.25E+01
5201,-9.46E+00,-1.29E+01,2.34E+01,2.34E+01
5202,-1.01E+01,-1.35E+01,2.46E+01,2.46E+01
5203,-1.08E+01,-1.39E+01,2.60E+01,2.60E+01
5204,-1.14E+01,-1.40E+01,2.76E+01,2.76E+01
5205,-1.19E+01,-1.39E+01,2.94E+01,2.94E+01
5206,-1.23E+01,-1.33E+01,3.11E+01,3.11E+01
5207,-1.25E+01,-1.22E+01,3.27E+01,3.27E+01
5208,-1.25E+01,-1.08E+01,3.40E+01,3.40E+01
5209,-1.21E+01,-9.09E+00,3.49E+01,3.49E+01
5210,-1.15E+01,-7.23E+00,3.52E+01,3.52E+01
